id	lng	lat	pop
1	139.9244945	35.3808259	Karaoke Tanuki
2	139.9242776	35.3807316	Gatekeeper Tanuki_1
3	139.9242162	35.3807583	Gatekeeper Tanuki_2
4	139.9239725	35.3808084	The open mouth don't close Tanuki
5	139.9236567	35.3808781	Alcohol Tanuki
6	139.9235732	35.3808907	Tabacco Tanuki
7	139.9229556	35.3809254	Tabuchi Kohei tomb
8	139.9199505	35.3814557	Kisarazu Charter
9	139.9195234	35.3814314	Smiley tanuki 
10	139.9178904	35.3816431	Three Taniki_1
11	139.9179670	35.3816714	Mural 
12	139.9178071	35.3816432	Poko_chan
13	139.9187462	35.3815505	Ship stone monument
14	139.9191858	35.3815415	Anchor stone monument
15	139.9196997	35.3815451	Lion head stone monument
16	139.9221526	35.3817430	Three Tanuki_2
17	139.9236469	35.3813649	Senryobako Tanuki
18	139.9237328	35.3812848	Geisha Tanuki
19	139.9240657	35.3806709	Barber Tanuki
20	139.9241197	35.3808360	Fortune Tanuki
21	139.9249605	35.3806198	Oiri Tanuki
22	139.9256485	35.3808518	Manhole_1
23	139.9255144	35.3808097	Manhole_2
24	139.9252667	35.3809016	Manhole_3
25	139.9252710	35.3817217	Kinuta
26	139.9212024	35.3799029	Shoujouji
27	139.9129010	35.3827590	Koibitonoseichi
